depth, mcts, pois
100,0.000667,0.028000
200,0.000667,0.027333
300,0.000667,0.025333
400,0.000667,0.021333
500,0.000667,0.017333
600,0.000667,0.030000
700,0.000667,0.024667
800,0.000667,0.026000
900,0.000667,0.025333
1000,0.000667,0.036667
2000,0.000667,0.035333
3000,0.000667,0.053333
4000,0.000667,0.046667
5000,0.000667,0.056667
6000,0.000667,0.070667
7000,0.000667,0.069333
8000,0.000667,0.070667
9000,0.000667,0.068667
10000,0.000667,0.069333
20000,0.000667,0.087333
30000,0.000667,0.097333
40000,0.000667,0.095333
50000,0.002000,0.098000
60000,0.001333,0.097333
70000,0.001333,0.095000
80000,0.002667,0.106667
90000,0.003333,0.099333
100000,0.004000,0.096000
200000,0.009333,0.098667
300000,0.021333,0.103333
